PctComps,Accuracy,Loss,,,,
0.025,0.947368421,0.25489177,,,,
0.05,0.960526316,0.19304013,,,,
0.075,0.927631579,0.22967479,,,,
0.1,0.927631579,0.21006037,,,,
0.125,0.963815789,0.22927221,,,,
0.15,0.940789474,0.24793927,,,,
0.175,0.934210526,0.23361517,,,,
0.2,0.930921053,0.25068289,,,,
0.225,0.940789474,0.26337699,,,,
0.25,0.9375,0.2163882,,,,
0.275,0.914473684,0.29040973,,,,
0.3,0.927631579,0.22159562,,,,
0.325,0.927631579,0.24618302,,,,
0.35,0.9375,0.31140888,,,,
0.375,0.930921053,0.22158045,,,,
0.4,0.924342105,0.35742655,,,,
0.425,0.901315789,0.28428545,,,,
0.45,0.927631579,0.24430059,,,,
0.475,0.891447368,0.20345571,,,,
0.5,0.891447368,0.28903725,,,,
0.525,0.924342105,0.30648799,,,,
0.55,0.914473684,0.34211262,,,,
0.575,0.911184211,0.29635544,,,,
0.6,0.888157895,0.26439289,,,,
0.625,0.898026316,0.30334388,,,,
0.65,0.894736842,0.26963189,,,,
0.675,0.914473684,0.23134462,,,,
0.7,0.894736842,0.32129439,,,,
0.725,0.921052632,0.29354716,,,,
0.75,0.940789474,0.23363329,,,,
0.775,0.927631579,0.28277325,,,,
0.8,0.894736842,0.29252096,,,,
0.825,0.914473684,0.29066352,,,,
0.85,0.888157895,0.23065776,,,,
0.875,0.917763158,0.38375617,,,,
0.9,0.901315789,0.22202316,,,,
0.925,0.914473684,0.343335,,,,
0.95,0.911184211,0.32048735,,,,
0.975,0.904605263,0.27976136,,,,