,pct_comps,accuracy,loss
19,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
20,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
21,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
22,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
23,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
24,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
25,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
26,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
27,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
28,"dict_keys([0.025, 0.05, 0.07500000000000001, 0.1, 0.125, 0.15, 0.17500000000000002, 0.2, 0.225, 0.25, 0.275, 0.30000000000000004, 0.32500000000000007, 0.35000000000000003, 0.37500000000000006, 0.4, 0.42500000000000004, 0.45000000000000007, 0.47500000000000003, 0.5, 0.525, 0.55, 0.5750000000000001, 0.6000000000000001, 0.6250000000000001, 0.65, 0.675, 0.7000000000000001, 0.7250000000000001, 0.7500000000000001, 0.775, 0.8, 0.8250000000000001, 0.8500000000000001, 0.8750000000000001, 0.9, 0.925, 0.9500000000000001, 0.9750000000000001])","dict_values([0.9342105263157895, 0.8947368421052632, 0.9013157894736842, 0.881578947368421, 0.9144736842105263, 0.9276315789473685, 0.9210526315789473, 0.8026315789473685, 0.8881578947368421, 0.8947368421052632, 0.8881578947368421, 0.881578947368421, 0.8486842105263158, 0.9210526315789473, 0.875, 0.8486842105263158, 0.868421052631579, 0.881578947368421, 0.8947368421052632, 0.8289473684210527, 0.8881578947368421, 0.8618421052631579, 0.8486842105263158, 0.8289473684210527, 0.8947368421052632, 0.875, 0.8618421052631579, 0.8289473684210527, 0.8355263157894737, 0.8947368421052632, 0.8355263157894737, 0.881578947368421, 0.8947368421052632, 0.8486842105263158, 0.875, 0.8881578947368421, 0.875, 0.8486842105263158, 0.8486842105263158])","dict_values([0.21848255078323553, 0.29049264749542614, 0.28265801756108394, 0.3850371476079597, 0.38150014789378056, 0.32481427905989474, 0.3944335985379141, 0.3612643612212822, 0.46376956388598584, 0.35884532991979945, 0.4016522325453211, 0.27837277338153027, 0.38076188769496855, 0.5215516671782634, 0.34947843678662033, 0.33558184690162784, 0.3470246127394379, 0.35144608724312704, 0.5046074918059053, 0.4660477120368207, 0.3411431200191623, 0.37038145544099027, 0.38297458750302676, 0.3809492930037076, 0.4396953741546537, 0.46480889105405965, 0.44237030725010107, 0.38767972686251656, 0.45036415340470487, 0.28544407203549244, 0.3736194596915949, 0.33733369874172525, 0.48251460370470267, 0.41122694093672957, 0.40270674717230875, 0.3863580632405203, 0.3440655313554357, 0.4385275640448586, 0.44230841515494174])"
